Counter, Time, ACCx, ACCy, ACCz, GRYx, GRYy, GRYz, MAGx, MAGy, MAGz, Temp(C), Pres(mbar), Alt (m) 
[41521, 1542153258.62, -0.15, -1.0, -0.05, 1.12, -0.7, -0.56, 2703.0, 5223.0, -741.0, 32.0, 953.0, 463.93]
[41522, 1542153258.64, -0.16, -1.17, -0.01, 1.47, -0.7, 0.0, 2687.0, 5204.0, -744.0, 32.0, 953.0, 463.93]
[41523, 1542153258.65, -0.23, -1.32, -0.12, 0.21, -0.98, -0.35, 2687.0, 5204.0, -777.0, 32.0, 953.0, 463.93]
[41524, 1542153258.66, -0.29, -1.96, -0.08, 1.68, -0.63, -0.7, 2691.0, 5215.0, -777.0, 32.0, 953.0, 463.93]
[41525, 1542153258.67, -0.31, -7.99, -2.02, -35.42, -1.47, 4.9, 2693.0, 5213.0, -750.0, 32.0, 953.0, 463.93]
[41526, 1542153258.68, -3.64, -7.99, 0.14, 57.75, 12.04, -17.85, 2752.0, 5160.0, -796.0, 32.0, 953.0, 463.93]
[41527, 1542153258.69, 0.28, -7.99, -2.04, -13.02, 0.56, -20.44, 3003.0, 4969.0, -1002.0, 32.0, 953.0, 463.93]
[41528, 1542153258.7, 1.46, -7.99, 0.68, 18.69, 1.75, -6.58, 3340.0, 4509.0, -1267.0, 32.0, 953.0, 463.93]
[41529, 1542153258.71, 2.18, -7.99, 1.04, -6.44, 6.3, 7.42, 3381.0, 3686.0, -1454.0, 32.0, 953.0, 463.93]
[41530, 1542153258.72, -0.19, -7.99, -0.66, -9.8, 3.36, 19.81, 2213.0, 2687.0, -1302.0, 32.0, 953.0, 463.93]
[41531, 1542153258.73, -1.03, -7.99, -0.21, 3.36, 8.19, 3.92, 2213.0, 2687.0, -738.0, 32.0, 953.0, 463.93]
[41532, 1542153258.74, 0.1, -7.99, -0.13, 17.85, 3.78, 2.87, 900.0, 2091.0, -738.0, 32.0, 953.0, 463.93]
[41533, 1542153258.76, 0.56, -7.99, 0.35, 0.35, 3.36, 0.42, -393.0, 615.0, 444.0, 32.0, 953.0, 463.93]
[41534, 1542153258.77, 0.79, -7.99, 0.89, -0.21, 9.45, 14.7, 617.0, 1130.0, 595.0, 32.0, 953.0, 463.93]
[41535, 1542153258.78, -0.68, -7.99, 0.4, -0.07, 20.72, 3.22, 2262.0, 2540.0, 92.0, 32.0, 953.0, 463.93]
[41536, 1542153258.79, -0.56, -7.99, 1.28, -5.11, 23.38, -4.27, 1745.0, 3136.0, 122.0, 32.0, 953.0, 463.93]
[41537, 1542153258.8, 1.44, -7.99, -1.16, -13.09, 22.12, 0.0, 1311.0, 3439.0, 156.0, 32.0, 953.0, 463.93]
[41538, 1542153258.81, 0.93, -7.99, -1.45, -0.42, 15.05, 8.75, 1311.0, 3778.0, 229.0, 32.0, 953.0, 463.93]
[41539, 1542153258.82, -1.5, -7.99, -1.87, -0.91, 5.32, 7.21, 1408.0, 3778.0, 485.0, 32.0, 953.0, 463.93]
[41540, 1542153258.83, 1.18, -7.99, 0.14, 17.08, 17.01, 10.15, 1313.0, 3835.0, 352.0, 32.0, 953.0, 463.93]
[41541, 1542153258.84, -0.29, -7.99, -0.82, 16.52, 25.97, 1.26, 1225.0, 3656.0, 378.0, 32.0, 953.0, 463.93]
[41542, 1542153258.85, -0.58, -7.99, -0.37, 15.54, 20.09, 2.73, 1303.0, 3173.0, 253.0, 32.0, 953.0, 463.93]
[41543, 1542153258.86, -0.2, -7.99, 1.26, 16.45, 6.37, 8.26, 1177.0, 2930.0, 415.0, 32.0, 953.0, 463.93]
[41544, 1542153258.88, -0.83, -7.99, 2.48, 7.49, 4.83, 5.88, 967.0, 3022.0, 475.0, 32.0, 952.26, 469.95]
[41545, 1542153258.89, -0.48, -7.99, -1.44, -7.49, -17.29, -1.33, 538.0, 4228.0, 503.0, 32.0, 952.26, 469.95]
[41546, 1542153258.9, 0.93, -7.99, 1.43, 7.91, -15.47, -0.63, 538.0, 3470.0, 476.0, 32.0, 952.26, 469.95]
[41547, 1542153258.91, 0.14, -7.99, 1.89, 13.16, -19.39, 4.13, 938.0, 3470.0, 476.0, 32.0, 952.26, 469.95]
[41548, 1542153258.92, -0.0, -7.99, -0.2, -12.81, -17.15, 16.24, 942.0, 3348.0, 473.0, 32.0, 952.26, 469.95, 'launch']
[41549, 1542153258.93, -0.66, -7.99, -0.62, -23.94, -17.85, -6.16, 932.0, 3326.0, 496.0, 32.0, 952.26, 469.95]
[41550, 1542153258.94, 0.1, -7.99, -0.07, 3.08, -22.96, -1.75, 932.0, 3311.0, 435.0, 32.0, 952.26, 469.95]
[41551, 1542153258.95, 0.47, -7.99, -0.66, -2.24, -22.05, 1.12, 928.0, 3282.0, 479.0, 32.0, 952.26, 469.95]
[41552, 1542153258.96, -0.58, -7.99, 0.21, 2.31, -24.78, 1.54, 908.0, 3296.0, 485.0, 32.0, 952.26, 469.95]
[41553, 1542153258.97, -0.22, -7.99, 0.58, -16.31, -23.73, -15.82, 919.0, 3271.0, 484.0, 32.0, 952.26, 469.95]
[41554, 1542153258.98, -0.1, -7.99, 0.14, -3.78, -29.68, 0.84, 919.0, 3271.0, 471.0, 32.0, 952.26, 469.95]
[41555, 1542153259.0, 0.38, -7.99, -0.64, -4.41, -29.96, 2.87, 913.0, 3286.0, 471.0, 32.0, 952.26, 469.95]
[41556, 1542153259.01, -0.17, -7.99, 0.12, 0.84, -36.47, 3.5, 902.0, 3277.0, 500.0, 32.0, 952.26, 469.95]
[41557, 1542153259.02, 0.11, -7.99, -0.57, -1.12, -38.92, 1.19, 896.0, 3271.0, 497.0, 32.0, 952.26, 469.95]
[41558, 1542153259.03, 0.37, -7.99, -0.76, -1.26, -43.61, 0.49, 919.0, 3277.0, 503.0, 32.0, 952.26, 469.95]
[41559, 1542153259.04, -0.42, -7.99, -0.15, -3.43, -34.16, 8.33, 898.0, 3265.0, 481.0, 32.0, 952.26, 469.95]
